,OFTIC,CNAME_actual,PENDS,PDICITY,AMASKCD,MEAN,STDEV,BPS,CPS,CPX,DPS,EBI,EBT,EPS,GPS,GRM,NAV,NDT,NET,PRE,ROE,SAL
9950,RSG,REPUBLIC SERVS,2018-09-30,QTR,145563,72.33333333333333,3.7859388972001833,24.4042,1.7,278.4,0.375,449.5,727.5,0.82,0.81,38.52,7923.8,8165.6,269.0,350.6,13.65,2565.7
9951,RSG,REPUBLIC SERVS,2018-12-31,QTR,145563,76.71428571428571,2.288688541085318,24.5802,1.52,251.3,0.375,419.8,692.2,0.8,0.92,39.7,7929.5,8267.0,260.0,293.9,13.12,2530.0
9952,RSG,REPUBLIC SERVS,2019-03-31,QTR,145563,94.88888888888889,5.754225500544028,22.45,1.71,299.3,0.375,426.8,698.8,0.73,0.72,39.04,7922.6,8329.1,237.2,316.8,11.97,2470.6
9953,RSG,REPUBLIC SERVS,2019-06-30,QTR,45396,80.72727272727273,4.291640923723911,24.7908,1.8,289.4,0.375,441.0,725.7,0.79,0.78,37.93,7955.2,8372.7,254.1,332.2,12.81,2605.3
9954,RSG,REPUBLIC SERVS,2019-09-30,QTR,82384,85.8,3.675746333890726,22.51,2.02,319.6,0.405,454.2,742.0,0.91,0.93,38.37,7978.5,8563.0,291.7,355.9,14.65,2646.9
9955,RSG,REPUBLIC SERVS,2019-12-31,QTR,45396,93.11111111111111,2.3154073315749666,25.4649,1.76,298.8,0.405,479.1,742.5,0.91,0.9,40.08,8120.9,8641.4,291.7,290.5,14.5,2576.7
9956,RSG,REPUBLIC SERVS,2020-03-31,QTR,128291,102.33333333333331,4.898979485566355,25.5178,1.78,346.8,0.405,433.3,722.8,0.77,0.77,39.3,8120.2,8695.1,246.3,322.9,12.14,2553.9
9957,RSG,REPUBLIC SERVS,2020-06-30,QTR,45396,97.85185185185183,9.326157192392156,25.8551,2.39,307.9,0.405,436.1,726.0,0.81,0.71,40.18,8230.9,8388.3,258.2,341.0,12.64,2454.4
9958,RSG,REPUBLIC SERVS,2020-09-30,QTR,92141,84.61538461538461,4.891122255993702,26.2797,1.8,234.3,0.425,523.7,780.6,1.0,0.81,40.3,8374.1,8372.4,319.3,394.5,15.39,2572.1
9959,RSG,REPUBLIC SERVS,2020-12-31,QTR,134644,98.16666666666669,10.923530995596831,26.41,1.76,305.6,0.425,481.8,768.4,1.0,0.74,39.87,8488.8,8896.0,320.4,313.4,15.21,2573.3
9960,RSG,REPUBLIC SERVS,2021-03-31,QTR,128894,140.0,8.334666560017066,27.0624,2.07,331.0,0.425,494.1,796.7,0.93,0.93,40.91,8638.3,8739.7,297.2,401.8,13.89,2596.4
9961,RSG,REPUBLIC SERVS,2021-06-30,QTR,185335,102.11111111111111,4.567396535348241,27.5355,2.57,277.6,0.425,538.0,861.7,1.09,1.03,41.34,8783.4,8935.1,349.9,447.5,16.07,2812.8
9962,RSG,REPUBLIC SERVS,2021-09-30,QTR,45396,117.17647058823528,7.081977955677771,27.9386,2.049,295.6,0.46,568.8,890.9,1.11,1.1,40.56,8878.9,9224.9,353.7,475.3,16.03,2933.9
9963,RSG,REPUBLIC SERVS,2021-12-31,QTR,45396,128.1578947368421,8.864806558613527,28.3068,2.04,412.1,0.46,507.0,830.1,1.02,0.98,28.58,8979.7,9525.4,325.5,285.6,14.589,2952.9
9964,RSG,REPUBLIC SERVS,2022-03-31,QTR,128291,151.89473684210526,8.272408871544716,28.4484,2.22,334.1,0.46,571.4,903.5,1.14,1.11,40.64,8984.7,9578.7,360.7,483.0,16.06,2968.8
9965,RSG,REPUBLIC SERVS,2022-06-30,QTR,185335,142.1818181818182,6.508735388970455,29.1627,2.71,313.2,0.46,649.6,1009.6,1.32,1.17,39.52,9216.0,11783.9,418.4,538.1,18.39,3413.6
9966,RSG,REPUBLIC SERVS,2022-09-30,QTR,168728,145.66666666666666,7.37434420005958,30.0313,2.589,277.5,0.495,674.6,1051.3,1.34,1.32,39.06,9490.5,11554.8,425.4,518.1,18.19,3597.8
9967,RSG,REPUBLIC SERVS,2022-12-31,QTR,168728,153.26315789473685,9.84232416806314,30.6422,2.54,529.2,0.495,615.2,965.0,1.13,1.09,28.291,9686.8,11641.3,358.1,388.7,14.939,3529.7
9968,SBAC,SBA COMM CORP,2015-03-31,QTR,106392,127.07142857142856,6.438636808831816,-8.01,1.38,68.1,0.0,89.086,271.026,0.04,-0.61,72.91,-1036.787,7901.208,4.97,7.933,4.24,410.094
